Comment,Designator,Footprint,LCSC Part #,Manufacturer,MPN,Qty
U.FL-R-SMT-1(80),A1,RF-SMD_FRF05002-JSS103M,C88374,HRS(广濑),U.FL-R-SMT-1(80),1
B2B-PH-K-S(LF)(SN),"BAT1,S3",CONN-TH_B2B-PH-K-S,C131337,JST,B2B-PH-K-S(LF)(SN),2
1pF,"C1,C2",C0402,C277493,YAGEO(国巨),CC0402CRNPO9BN1R0,2
100nF,"C3,C4,C5,C6,C7,C25",C0402,C77020,muRata(村田),GRM155R71H104KE14D,6
15pF,"C8,C9",C0402,C441742,muRata(村田),GJM1555C1H150FB01D,2
1uF,"C14,C26,C29",C0603,C6119852,HRE(芯声),CGA0603X5R105K500JT,3
10uF,"C15,C20,C21,C22,C23,C24",C0603,C96446,SAMSUNG(三星),CL10A106MA8NRNC,6
18pF,"C30,C31",C0402,C161534,muRata(村田),GRM1555C1H180FA01D,2
KT-0603R,D3,LED0603-RD,C2286,KENTO,KT-0603R,1
XL-1608UBC-04,D4,LED0603-RD_BLUE,C965807,XINGLIGHT(成兴光),XL-1608UBC-04,1
3.9nH,L1,L0402,C77109,muRata(村田),LQG15HS3N9S02D,1
BLM15AG601SN1D,L2,L0402,C76884,muRata(村田),BLM15AG601SN1D,1
2.2uH,L3,IND-SMD_L7.1-W6.5-P5.60,C76855,TDK,SPM6530T-2R2M,1
22Ω,"R4,R5",R0402,C25092,UNI-ROYAL(厚声),0402WGF220JTCE,2
10kΩ,"R6,R7,R8,R20",R0402,C25744,UNI-ROYAL(厚声),0402WGF1002TCE,4
5.1kΩ,"R9,R10",R0402,C25905,UNI-ROYAL(厚声),0402WGF5101TCE,2
2.7kΩ,R11,R0402,C25885,UNI-ROYAL(厚声),0402WGF2701TCE,1
18kΩ,R13,R0402,C25762,UNI-ROYAL(厚声),0402WGF1802TCE,1
NCP18XH103F03RB,R16,R0603,C13564,muRata(村田),NCP18XH103F03RB,1
3kΩ,R18,R0402,C2909355,FOJAN,FRC0402F3001TS,1
150Ω,"R21,R22",R0402,C25082,UNI-ROYAL(厚声),0402WGF1500TCE,2
B3U-1000P,"S1,S2",KEY-SMD_B3U-1000PM,C231329,OMRON(欧姆龙),B3U-1000P,2
ESP32-C3FH4,U1,QFN-32_L5.0-W5.0-P0.50-BL-EP3.7,C2858491,ESPRESSIF(乐鑫),ESP32-C3FH4,1
TPS63031DSKR,U2,VSON-10_L2.5-W2.5-P0.50-EP1.2x2.0,C15516,Texas Instruments,TPS63031DSKR,1
BQ25185DLHR,U3,WSON-10_L2.2-W2.0-P0.40-EP0.9x1.5,C19725033,Texas Instruments,BQ25185DLHR,1
S4B-XH-A(LF)(SN),U4,CONN-TH_S4B-XH-A-LF-SN,C157925,JST,S4B-XH-A(LF)(SN),1
TLP172AM,"U5,U6",SMD-4_L4.6-W3.7-P2.54-LS7.0-BR,C2152276,TOSHIBA(东芝),"TLP172AM(TPL,E",2
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,SHOU HAN(首韩),TYPE-C 16PIN 2MD(073),1
40MHz,X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL-2,C20885029,YJX(雅晶鑫),T201640MFBDE2X,1
32.768kHz,X2,CRYSTAL-SMD_L3.2-W1.5-1,C5213671,YXC(扬兴晶振),XKXGI-SUA-32.768K,1
