Designator,Mid X,Mid Y,Layer,Rotation
A1,9.038mm,-19.634mm,Top,90
BAT1,3.275mm,-4.811mm,Top,90
C1,11.003mm,-20.258mm,Top,270
C2,14.745mm,-20.258mm,Top,270
C3,19.764mm,-21.114mm,Top,0
C4,19.785mm,-19.910mm,Top,0
C5,15.951mm,-16.611mm,Top,180
C6,26.305mm,-12.867mm,Top,0
C7,25.663mm,-16.564mm,Top,270
C8,12.991mm,-17.987mm,Top,180
C9,12.313mm,-13.807mm,Top,180
C14,27.742mm,-6.641mm,Top,270
C15,15.900mm,-18.034mm,Top,0
C20,9.779mm,-2.286mm,Top,270
C21,6.072mm,-6.588mm,Top,90
C22,11.800mm,-1.500mm,Top,270
C23,16.500mm,-11.400mm,Top,0
C24,19.300mm,-6.500mm,Top,270
C25,18.000mm,-9.800mm,Top,180
C26,29.210mm,-17.526mm,Top,0
C29,25.860mm,-14.395mm,Top,180
C30,21.765mm,-20.517mm,Top,90
C31,27.420mm,-20.497mm,Top,90
D3,20.500mm,-4.000mm,Top,90
D4,24.224mm,-1.814mm,Top,270
L1,12.876mm,-19.709mm,Top,0
L2,16.032mm,-15.402mm,Top,0
L3,10.301mm,-7.865mm,Top,270
R4,7.957mm,-14.967mm,Top,180
R5,7.957mm,-13.796mm,Top,180
R6,20.067mm,-10.373mm,Top,180
R7,27.742mm,-9.343mm,Top,90
R8,26.939mm,-16.439mm,Top,270
R9,7.957mm,-12.553mm,Top,0
R10,7.957mm,-16.142mm,Top,0
R11,14.200mm,-1.000mm,Top,180
R13,16.200mm,-1.000mm,Top,180
R16,18.700mm,-1.000mm,Top,0
R18,22.000mm,-2.800mm,Top,90
R20,20.044mm,-9.175mm,Top,0
R21,31.350mm,-13.400mm,Top,270
R22,31.350mm,-6.600mm,Top,270
S1,22.711mm,-8.620mm,Top,90
S2,25.512mm,-8.614mm,Top,270
S3,28.713mm,-2.040mm,Top,180
U1,21.257mm,-14.419mm,Top,90
U2,15.400mm,-8.400mm,Top,0
U3,17.000mm,-3.700mm,Top,0
U4,44.300mm,-11.000mm,Top,270
U5,36.500mm,-14.400mm,Top,270
U6,36.500mm,-7.600mm,Top,270
USB1,3.607mm,-13.259mm,Top,270
X1,12.768mm,-15.848mm,Top,0
X2,24.559mm,-20.477mm,Top,180
